stimulus,category,emotion
"images/1,4.png",Anger,"images/1,4.png"
"images/5,4.png",Anger,"images/5,4.png"
"images/3,4.png",Anger,"images/3,4.png"
"images/6,4.png",Anger,"images/6,4.png"
"images/8,4.png",Anger,"images/8,4.png"
"images/7,4.png",Anger,"images/7,4.png"
"images/2,4.png",Anger,"images/2,4.png"
"images/4,4.png",Anger,"images/4,4.png"
"images/2,2.png",Happy,"images/2,2.png"
"images/8,2.png",Happy,"images/8,2.png"
"images/7,2.png",Happy,"images/7,2.png"
"images/3,2.png",Happy,"images/3,2.png"
"images/4,2.png",Happy,"images/4,2.png"
"images/1,2.png",Happy,"images/1,2.png"
"images/6,2.png",Happy,"images/6,2.png"
"images/5,2.png",Happy,"images/5,2.png"
"images/1,1.png",Neutral,"images/1,1.png"
"images/7,1.png",Neutral,"images/7,1.png"
"images/6,1.png",Neutral,"images/6,1.png"
"images/2,1.png",Neutral,"images/2,1.png"
"images/4,1.png",Neutral,"images/4,1.png"
"images/5,1.png",Neutral,"images/5,1.png"
"images/8,1.png",Neutral,"images/8,1.png"
"images/3,1.png",Neutral,"images/3,1.png"
"images/6,3.png",Fear,"images/6,3.png"
"images/8,3.png",Fear,"images/8,3.png"
"images/7,3.png",Fear,"images/7,3.png"
"images/5,3.png",Fear,"images/5,3.png"
"images/1,3.png",Fear,"images/1,3.png"
"images/4,3.png",Fear,"images/4,3.png"
"images/3,3.png",Fear,"images/3,3.png"
"images/2,3.png",Fear,"images/2,3.png"
"images/1,4.png",Anger,"images/1,4.png"
"images/5,4.png",Anger,"images/5,4.png"
"images/3,4.png",Anger,"images/3,4.png"
"images/6,4.png",Anger,"images/6,4.png"
"images/8,4.png",Anger,"images/8,4.png"
"images/7,4.png",Anger,"images/7,4.png"
"images/2,4.png",Anger,"images/2,4.png"
"images/4,4.png",Anger,"images/4,4.png"
"images/6,6.png",Disgust,"images/6,6.png"
"images/4,6.png",Disgust,"images/4,6.png"
"images/7,6.png",Disgust,"images/7,6.png"
"images/3,6.png",Disgust,"images/3,6.png"
"images/8,6.png",Disgust,"images/8,6.png"
"images/2,6.png",Disgust,"images/2,6.png"
"images/1,6.png",Disgust,"images/1,6.png"
"images/5,6.png",Disgust,"images/5,6.png"
"images/1,1.png",Neutral,"images/1,1.png"
"images/7,1.png",Neutral,"images/7,1.png"
"images/6,1.png",Neutral,"images/6,1.png"
"images/2,1.png",Neutral,"images/2,1.png"
"images/4,1.png",Neutral,"images/4,1.png"
"images/5,1.png",Neutral,"images/5,1.png"
"images/8,1.png",Neutral,"images/8,1.png"
"images/3,1.png",Neutral,"images/3,1.png"
"images/6,6.png",Disgust,"images/6,6.png"
"images/4,6.png",Disgust,"images/4,6.png"
"images/7,6.png",Disgust,"images/7,6.png"
"images/3,6.png",Disgust,"images/3,6.png"
"images/8,6.png",Disgust,"images/8,6.png"
"images/2,6.png",Disgust,"images/2,6.png"
"images/1,6.png",Disgust,"images/1,6.png"
"images/5,6.png",Disgust,"images/5,6.png"
"images/2,2.png",Happy,"images/2,2.png"
"images/8,2.png",Happy,"images/8,2.png"
"images/7,2.png",Happy,"images/7,2.png"
"images/3,2.png",Happy,"images/3,2.png"
"images/4,2.png",Happy,"images/4,2.png"
"images/1,2.png",Happy,"images/1,2.png"
"images/6,2.png",Happy,"images/6,2.png"
"images/5,2.png",Happy,"images/5,2.png"
